Project Name,Project Link,Parent Category,Category Name,Location,Currency,Goal Amount,Pledged Amount,Percent Funded,Duration,Days Left,Description Length,Risk Desc Count,Is Project We Love,Image Count,Video Count,Success
Forty Foes - A Cy Borg Compatible Bestiary,https://www.kickstarter.com/projects/crowheart/forty-foes-a-cy-borg-compatible-bestiary?ref=discovery,Games,Tabletop Games,UK,GBP,1000.0,7600.0,760,54,48,108,463,0,33,0,1
Found: Merlin's Heir (Special Edition Paperback & Hardbacks),https://www.kickstarter.com/projects/authorgabskeldon/found-merlins-heir-special-edition-paperback-and-hardbacks?ref=discovery,Publishing,Fiction,UK,GBP,500.0,1525.0,305,30,10,115,1099,1,37,1,1
Fourth Down™ 🏈 Family Card Game created by College Students,https://www.kickstarter.com/projects/brokli/fourth-downtm-family-card-game-created-by-college-students?ref=discovery,Games,Tabletop Games,USA,USD,3000.0,2705.0,90,30,9,88,512,0,19,1,0
Fowl Language: Tweenage Wasteland,https://www.kickstarter.com/projects/rocketship/fowl-language-tweenage-wasteland?ref=discovery,Comics,Comic Books,USA,USD,3000.0,30760.0,1025,30,7,127,482,1,59,1,1
Fox Fires Book Two,https://www.kickstarter.com/projects/rocketshipkids/fox-fires-book-2?ref=discovery,Comics,Graphic Novels,USA,USD,3000.0,13137.0,437,30,22,129,482,1,67,1,1
FoxAngel: An Enamel Pin Project,https://www.kickstarter.com/projects/darkdahliadesignss/angelfox-an-enamel-pin-project?ref=discovery,Art,Illustration,USA,USD,2000.0,500.0,25,30,19,61,378,0,18,0,0
FP4 Prelude: The Phoenix Queen - Printable STL Miniatures,https://www.kickstarter.com/projects/fpc2bloodrootmanor/fp4-prelude-the-phoenix-queen-printable-stl-miniatures?ref=discovery,Games,Tabletop Games,Italy,EUR,500.0,1723.0,344,30,9,125,181,0,20,0,1
Frameamajigs: Collectable Card Frames,https://www.kickstarter.com/projects/thingamajigs/frameamajigs?ref=discovery,Games,Tabletop Games,USA,USD,10000.0,16176.0,161,30,29,116,127,1,51,1,1
Framing Life: Backing Our Photography Business,https://www.kickstarter.com/projects/denizcaglarkavil/framing-life-backing-our-photography-business?ref=discovery,Photography,Nature,AU,AUD,3500.0,1.32,0,60,25,135,1092,0,8,1,0
Francesca Federico's Debut Album Recording,https://www.kickstarter.com/projects/ffedericosoprano/francesca-federicos-debut-album-recording?ref=discovery,Music,Classical Music,USA,USD,12000.0,3649.0,30,59,44,116,235,0,7,1,0
Frankenstein Madness,https://www.kickstarter.com/projects/gomeznaq/frankenstein-madness?ref=discovery,Games,Tabletop Games,Colombia,USD,500.0,1498.0,299,45,10,121,90,0,30,2,1
Frankly Delicious - Mini Chocolate Bars,https://www.kickstarter.com/projects/frankly-delicious/frankly-delicious-mini-chocolate-bars?ref=discovery,Food,Small Batch,UK,GBP,2500.0,4528.0,181,30,4,93,233,1,15,0,1
Fred Green is recording new music!,https://www.kickstarter.com/projects/fredgreen/fred-green-is-recording-new-music?ref=discovery,Music,Rock,USA,USD,7500.0,8171.0,108,30,45,44,327,0,7,1,1
Fred Perry's GOLD DIGGER #300 CHEETAH FOIL EDITION,https://www.kickstarter.com/projects/teether/fred-perrys-gold-digger-300-cheetah-foil-edition?ref=discovery,Comics,Comic Books,USA,USD,1000.0,23918.0,2391,24,11,109,979,0,25,0,1
Free OpenSource English Learning + Teaching Resource Library,https://www.kickstarter.com/projects/englishacrossthepond/english-across-the-pond-podcast-transcripts-and-study-plans?ref=discovery,Publishing,Academic,USA,USD,10000.0,703.0,7,44,3,132,469,0,8,2,0
Free Roses by Chelsea Lynn LaBate,https://www.kickstarter.com/projects/freeroses/free-roses-by-chelsea-lynn-labate?ref=discovery,Publishing,Poetry,USA,USD,10000.0,9530.0,95,46,46,82,47,0,17,1,0
Freeroam,https://www.kickstarter.com/projects/2085429937/freeroam?ref=discovery,Games,Tabletop Games,UK,GBP,5000.0,71.0,1,60,18,109,574,0,7,0,0
freeze at home dog treats | by TWISTER'S CAFE,https://www.kickstarter.com/projects/twisterscafe/freeze-at-home-dog-treats-by-twisters-cafe?ref=discovery,Food,Small Batch,USA,USD,6500.0,10817.0,166,45,15,135,419,0,24,1,1
French Quarter: A let the good times roll and write game!,https://www.kickstarter.com/projects/1478832610/french-quarter-a-let-the-good-times-roll-and-write-game?ref=discovery,Games,Tabletop Games,USA,USD,18000.0,15425.0,85,23,22,129,1424,0,32,1,0
FRESH 32 - Toothbrush,https://www.kickstarter.com/projects/fresh32/fresh-32-toothbrush?ref=discovery,Design,Product Design,Slovenia,EUR,3200.0,3575.0,111,32,12,65,1377,0,30,1,1
Fresh Defend Home: Keep produce fresh up to 5x longer,https://www.kickstarter.com/projects/863239946/freshdefendhometm-keep-your-produce-fresh-up-to-5x-longer?ref=discovery,Technology,Hardware,USA,USD,20000.0,78442.0,392,40,4,103,557,0,47,2,1
Friend Dog: Before the End,https://www.kickstarter.com/projects/frienddog/friend-dog-before-the-end?ref=discovery,Music,Indie Rock,USA,USD,2800.0,2845.0,101,29,3,63,122,0,7,1,1
Friend Shaped Fossils - Eco-friendly Tote bags!,https://www.kickstarter.com/projects/cleverbunnycompany/friend-shaped-fossils-eco-friendly-tote-bags?ref=discovery,Art,Illustration,UK,GBP,400.0,779.0,194,30,59,93,749,0,34,0,1
"Friend Zone: Visual Novel, dating , otome game series 18+",https://www.kickstarter.com/projects/diary-100/friend-zone-a-visual-novel-game-series?ref=discovery,Games,Video Games,USA,USD,5000.0,526.0,10,60,45,131,45,0,52,1,0
"FRIGID - An ""A24-Style"" Horror Film",https://www.kickstarter.com/projects/blackmountainvisuals/frigid-an-a24-style-horror-film?ref=discovery,Film & Video,Horror,USA,USD,30000.0,8130.0,27,30,16,119,4339,0,18,1,0
Froggy Bakery: A Hard Enamel Pin Collection,https://www.kickstarter.com/projects/peacchio/froggy-bakery-a-hard-enamel-pin-collection?ref=discovery,Art,Illustration,USA,USD,250.0,3200.0,1280,30,7,81,302,0,13,0,1
Frogie And Friends,https://www.kickstarter.com/projects/frogie-and-friends/frogie-and-friends?ref=discovery,Art,Illustration,USA,USD,1150.0,133.0,11,50,6,123,105,0,21,0,0
From One Persons Success to another Persons Dream,https://www.kickstarter.com/projects/psb2023/from-one-persons-success-to-another-persons-dream?ref=discovery,Food,Restaurants,USA,USD,5000.0,21.0,0,33,29,103,294,0,13,0,0
Fruit Flies,https://www.kickstarter.com/projects/fruitfliesproject/fruit-flies?ref=discovery,Food,Drinks,USA,USD,8000.0,1998.0,24,45,19,76,427,0,8,0,0
FTL: The All In One Duffel Bag x Garment Bag x Briefcase,https://www.kickstarter.com/projects/ftlbags/ftl-the-all-in-one-gym-bag-x-garment-bag-x-briefcase?ref=discovery,Fashion,Accessories,USA,USD,5000.0,61245.0,1224,30,16,135,1686,0,48,1,1
Fueling Your Sneaker Passion with Not Enuff Heat,https://www.kickstarter.com/projects/notenuffheat/fueling-your-sneaker-passion-with-not-enuff-heat?ref=discovery,Fashion,Apparel,USA,USD,3000.0,51.0,1,30,23,109,1576,0,12,1,0
Full Metal Brotherhood - STL bits & models for wargames,https://www.kickstarter.com/projects/dawnguards-army/full-metal-brotherhood-stl-bits-and-models-for-wargames?ref=discovery,Games,Tabletop Games,USA,USD,500.0,2009.0,401,21,13,134,213,0,35,2,1
Full-Aluminum Premium Tent for Your Wet-Free Zone,https://www.kickstarter.com/projects/861786339/full-aluminum-premium-tent-for-your-wet-free-zone?ref=discovery,Design,Product Design,USA,USD,10000.0,44278.0,442,45,9,135,883,0,98,2,1
"Fund A Students ""Whodunnit?"" Short Film",https://www.kickstarter.com/projects/darrenk/fund-a-students-whodunnit-short-film?ref=discovery,Film & Video,Drama,Canada,CAD,2500.0,1.29,0,53,39,101,559,0,8,0,0
Fund French singer Marine Futin to record new music in NYC!,https://www.kickstarter.com/projects/marinefutin/fund-french-singer-marine-futin-record-new-music-in-nyc?ref=discovery,Music,World Music,USA,USD,10000.0,8526.0,85,30,9,135,551,1,29,1,0
Funding for Incitrica Vol 1,https://www.kickstarter.com/projects/incitrica-vol-1/funding-for-incitrica-vol-1-0?ref=discovery,Publishing,Fiction,USA,USD,2000.0,196.0,9,60,44,100,208,0,7,0,0
Funding the new EP from Burton Kind - Till Dreams Disappear,https://www.kickstarter.com/projects/burtonkind/funding-the-new-ep-from-burton-kind-till-dreams-disappear?ref=discovery,Music,Rock,USA,USD,5782.0,301.0,5,60,26,50,91,0,9,3,0
Futuristic Cyberpunk Tower: Ascend the Cyber Spire - 3D STL,https://www.kickstarter.com/projects/holocronfactory/futuristic-cyberpunk-tower-ascend-the-cyber-spire-3d-stl?ref=discovery,Games,Tabletop Games,France,EUR,50.0,215.0,430,30,29,135,280,0,20,1,1
Fyre Comic Volume 2,https://www.kickstarter.com/projects/fyrecomic/fyre-comic-volume-2?ref=discovery,Comics,Comic Books,Canada,CAD,1500.0,1231.29,82,30,8,103,349,0,16,1,0
Gallant and True: An Arthurian Zine,https://www.kickstarter.com/projects/gallantandtrue/gallant-and-true-an-arthurian-zine?ref=discovery,Publishing,Zines,USA,USD,15000.0,14306.0,95,31,6,126,1025,1,21,0,0
Gamel Helmets,https://www.kickstarter.com/projects/gamel-helmets/gamel-helmets?ref=discovery,Technology,Hardware,France,EUR,10000.0,14084.0,140,31,32,61,3815,0,46,1,1
Gays In Space,https://www.kickstarter.com/projects/mochimochipins/gays-in-space?ref=discovery,Art,Digital Art,USA,USD,600.0,20.0,3,60,52,28,646,0,12,0,0
GCaMorn- The Newest Smart Multi-Function Car Monitor,https://www.kickstarter.com/projects/1298944013/gcamorn-the-newest-smart-multi-function-car-monitor?ref=discovery,Technology,Gadgets,Hong Kong,HKD,20000.0,49563.0,247,30,16,129,530,0,68,1,1
GearFire Pizza: Robotic Pizza Food Truck,https://www.kickstarter.com/projects/gearfirepizza/gearfire-pizza-robotic-pizza-food-truck?ref=discovery,Technology,Robots,USA,USD,20000.0,1516.0,7,30,18,53,1962,0,43,4,0
Gemini Man: The Complete Series,https://www.kickstarter.com/projects/jdcowan/gemini-man-the-complete-series?ref=discovery,Publishing,Fiction,Canada,CAD,700.0,1576.29,225,30,65,61,537,0,17,0,1
Genshin Impact Ita bags,https://www.kickstarter.com/projects/mewgicalgurl/genshin-impact-ita-bags-0?ref=discovery,Fashion,Accessories,Spain,EUR,7000.0,3747.0,53,25,24,134,624,0,38,0,0
Gentleman Jane,https://www.kickstarter.com/projects/gentlemanjane/gentleman-jane?ref=discovery,Fashion,Apparel,USA,USD,22000.0,861.0,3,30,16,72,728,0,7,1,0
GeoLiteracy: Geographic Illiteracy Coffee Table Book,https://www.kickstarter.com/projects/englishentry/national-colors-coffee-table-book?ref=discovery,Comics,Graphic Novels,Mexico,MXN,4000.0,11917.8,297,60,45,46,740,0,57,2,1
Get Contacted for your Parked Vehicle without sharing Phone.,https://www.kickstarter.com/projects/118108502/vehicle-owner-contacting-tag-with-privacy?ref=discovery,none,Technology,Spain,EUR,15000.0,5099.0,33,60,4,133,182,0,13,1,0
GETTING IN: NYC Club Flyers from the Gay 1990s,https://www.kickstarter.com/projects/gettinginclubbook/getting-in-nyc-club-flyers-from-the-gay-1990s?ref=discovery,Publishing,Art Books,USA,USD,5000.0,7690.0,153,35,6,109,334,1,10,1,1
Gettysburg 1863,https://www.kickstarter.com/projects/1040417273/gettysburg-1863?ref=discovery,Games,Tabletop Games,USA,USD,1863.0,59365.0,3186,18,3,133,343,0,22,1,1
GHETTO WRESTLING,https://www.kickstarter.com/projects/ghettowrestling/ghetto-wrestling?ref=discovery,Art,Performance Art,Germany,EUR,1300.0,312.0,24,30,24,52,257,0,10,1,0
Ghoulish Gals: Pinup Pins,https://www.kickstarter.com/projects/hazelheartart/ghoulish-gals-pinup-pins?ref=discovery,Art,Illustration,USA,USD,2400.0,836.0,34,30,19,62,670,0,22,0,0
"Giallo, Arancia, con grana",https://www.kickstarter.com/projects/samuelsuchod/giallo-arancia-con-grana?ref=discovery,Film & Video,Family,Italy,EUR,11200.0,583.0,5,25,16,134,525,0,23,1,0
Giant Silicone Dice Set,https://www.kickstarter.com/projects/robinsnerdsupplies/giant-silicone-dice-set?ref=discovery,Games,Tabletop Games,USA,USD,5000.0,15101.0,302,30,15,89,235,0,20,2,1
GIGO FIRANO,https://www.kickstarter.com/projects/orloffwatches/gigo-firano?ref=discovery,Fashion,Accessories,Denmark,EUR,15000.0,944.0,6,60,45,42,254,0,17,2,0
Gilead's Sword & Sorcery Sketchbook 3,https://www.kickstarter.com/projects/gileadartist/gileads-sword-and-sorcery-sketchbook-3?ref=discovery,Publishing,Art Books,USA,USD,2000.0,2863.0,143,21,5,25,108,0,15,1,1
Give Ear: Works In Progress,https://www.kickstarter.com/projects/christianawwarner/give-ear-works-in-progress?ref=discovery,Dance,Performances,USA,USD,2500.0,341.0,13,30,15,105,302,0,18,1,0
Glide: A Dreamers Clothing Company,https://www.kickstarter.com/projects/pressey/glide-a-dreamers-clothing-company?ref=discovery,Fashion,Apparel,Canada,CAD,30000.0,91.29,0,30,45,129,767,0,8,0,0
Glow HairCare -The First Cordless Hot Air Styler,https://www.kickstarter.com/projects/glowhaircare/glow-stylecare-the-first-cordless-hot-air-styler?ref=discovery,Design,Product Design,China,HKD,30000.0,556282.0,1854,40,6,118,532,0,81,5,1
Go Ahead Punk!,https://www.kickstarter.com/projects/ndgamesuk/go-ahead-punk?ref=discovery,Games,Tabletop Games,UK,GBP,9500.0,11619.0,122,30,22,75,1496,0,35,1,1
GoChess: The Most Powerful Chess Board Ever Invented,https://www.kickstarter.com/projects/1928372437/gochess-ai-robotic-smart-chess-board-with-coaching-lights?ref=discovery,Design,Product Design,Israel,USD,20000.0,982343.0,4911,56,43,110,689,1,64,3,1
God Glasses,https://www.kickstarter.com/projects/astrolee/god-glasses?ref=discovery,Film & Video,Animation,USA,USD,1000.0,1657.0,165,58,53,115,673,0,13,1,1
"Golyo Ice, the clever way to make ice",https://www.kickstarter.com/projects/golyo-ice/golyo-ice-the-clever-way-to-make-ice?ref=discovery,Design,Product Design,Switzerland,CHF,7500.0,8905.0,118,45,29,86,462,0,45,2,1
Good Boy Vinyl Collectible,https://www.kickstarter.com/projects/1446020946/good-boy-vinyl-collectible?ref=discovery,Design,Toys,USA,USD,9499.0,12756.0,134,30,24,94,280,1,19,1,1
Good Jeans and Brown Suga Fashion Show,https://www.kickstarter.com/projects/moveloveproductions/good-jeans-and-brown-suga-fashion-show?ref=discovery,Fashion,Ready-to-wear,USA,USD,15770.0,1.0,0,30,16,16,120,0,10,0,0
Goodmire: A swamp adventure,https://www.kickstarter.com/projects/calebsavi/goodmire-a-swamp-adventure?ref=discovery,Games,Tabletop Games,Canada,CAD,200.0,1415.29,707,30,15,84,322,0,20,1,1
Gossamer Wings- A Tale of Wings (Book One),https://www.kickstarter.com/projects/flyingfoxgirl/gossamer-wings-a-tale-of-wings-book-one?ref=discovery,Publishing,Young Adult,USA,USD,1000.0,3803.0,380,60,41,101,215,1,20,1,1
Gothic Building Design Campaign Spring 2023,https://www.kickstarter.com/projects/wargameforge/gothic-building-design-campaign-spring-2023?ref=discovery,Games,Tabletop Games,USA,USD,500.0,1406.0,281,19,9,129,179,0,81,1,1
Gothic Building Ruined,https://www.kickstarter.com/projects/wawbattlefield/gothic-building-ruined?ref=discovery,Games,Tabletop Games,Spain,EUR,800.0,261.0,32,39,10,90,247,0,51,0,0
Gothic Witch's Cottage - Pay What You Want,https://www.kickstarter.com/projects/portmaldorn/gothic-witchs-cottage?ref=discovery,Games,Tabletop Games,USA,USD,150.0,612.0,408,23,7,84,97,0,35,0,1
Grab and go Bundle of Maps - Town edition,https://www.kickstarter.com/projects/enchantersoftherealm/grab-and-go-bundle-of-maps-town-edition?ref=discovery,Games,Tabletop Games,UK,GBP,100.0,101.0,101,30,16,117,225,0,16,1,1
GRAB'n'GO - Pre-built TTRPG additions,https://www.kickstarter.com/projects/heroichouse/grabngo-pre-built-ttrpg-additions?ref=discovery,Games,Tabletop Games,NZ,NZD,1000.0,1181.42,118,30,11,127,242,0,15,0,1
Grand Tulip Playing Cards,https://www.kickstarter.com/projects/307512393/grand-tulip-playing-cards?ref=discovery,Games,Playing Cards,Netherlands,EUR,12000.0,12012.0,100,16,21,100,908,0,41,0,1
Grass Valley,https://www.kickstarter.com/projects/smalltown/grass-valley?ref=discovery,Film & Video,Television,USA,USD,30000.0,401.0,1,30,29,35,3777,0,13,1,0
Gravestown issue six,https://www.kickstarter.com/projects/vincedanks1/gravestown-issue-six?ref=discovery,Comics,Comic Books,UK,GBP,1000.0,1337.0,133,31,18,116,549,0,31,0,1
Great Lakes Ships Trading Cards 2022,https://www.kickstarter.com/projects/glshipscards/great-lakes-ships-trading-cards-2022?ref=discovery,Games,Playing Cards,USA,USD,20000.0,1416.0,7,60,35,80,347,0,19,1,0
Grid Series Five - Typographic Playing Cards,https://www.kickstarter.com/projects/lukewadey/grid-series-five-typographic-playing-cards?ref=discovery,Games,Playing Cards,UK,GBP,8500.0,12913.0,151,17,14,90,1335,0,31,0,1
Grieveborough: 3D Printable Miniature Set,https://www.kickstarter.com/projects/zwk/grieveborough-3d-printable-miniature-set?ref=discovery,Games,Tabletop Games,Hong Kong,HKD,2000.0,282030.0,14101,28,9,132,221,0,32,0,1
Grogella : Pre-Supported,https://www.kickstarter.com/projects/holdmyminiature/grogella-pre-supported?ref=discovery,Games,Tabletop Games,USA,USD,100.0,2661.0,2661,20,14,82,173,0,11,0,1
Ground of Aces - The World War II base building game,https://www.kickstarter.com/projects/blindflugstudios/ground-of-aces?ref=discovery,Games,Video Games,Switzerland,EUR,30000.0,88153.0,293,30,62,127,342,1,81,1,1
"GUILDS, COSTERS, AND CABALS: Exciting Factions & NPCs for 5E",https://www.kickstarter.com/projects/wyvernblade/guilds-costers-and-cabals-exciting-factions-and-npcs-for-5e?ref=discovery,Games,Tabletop Games,USA,USD,250.0,418.0,167,21,6,132,183,0,18,0,1
GymGenius | AI Personal Trainer,https://www.kickstarter.com/projects/david06a/gymgenius-ai-personal-trainer?ref=discovery,Technology,Apps,UK,GBP,8000.0,11.0,0,21,5,129,1294,0,12,1,0
Habetrot Traum Tarot,https://www.kickstarter.com/projects/1121475728/habetrot-traum-tarot?ref=discovery,Games,Playing Cards,Switzerland,EUR,5500.0,13731.0,249,37,7,107,226,0,12,1,1
Half Byte! It's a Nybble,https://www.kickstarter.com/projects/axltgamestudio/half-byte-its-a-nybble?ref=discovery,Games,Tabletop Games,USA,USD,128.0,73.0,57,30,9,56,337,0,17,1,0
Hamilton v Burr: A Werewolf Tale,https://www.kickstarter.com/projects/plexico/hamilton-v-burr-a-werewolf-tale?ref=discovery,Comics,Comic Books,USA,USD,2500.0,1632.0,65,30,21,117,318,0,15,1,0
Handcrafted Dragon Egg Gemstone Dice,https://www.kickstarter.com/projects/divinghippostudio/handcrafted-dragon-egg-gemstone-dice?ref=discovery,Games,Tabletop Games,Canada,CAD,3200.0,14005.29,437,28,5,131,499,0,28,1,1
Handcrafted Japanese Artisan Ceramics: Traditional Technique,https://www.kickstarter.com/projects/1385896214/handcrafted-japanese-artisan-ceramics-traditional-technique?ref=discovery,Art,Ceramics,Spain,EUR,10000.0,190.0,1,60,32,78,532,0,8,0,0
Happily Ever After enamel pin series,https://www.kickstarter.com/projects/rabbitholedesigns/happily-ever-after-enamel-pin-series?ref=discovery,Art,Digital Art,UK,GBP,1500.0,473.0,31,28,8,105,377,0,32,0,0
Happy cycles start here - Young Teas' Muscovado sugar,https://www.kickstarter.com/projects/youngteas/happy-cycles-start-here-young-teas-muscovado-sugar?ref=discovery,Food,Drinks,USA,USD,10000.0,1.0,0,30,10,74,81,0,15,0,0
Happy Doggo!,https://www.kickstarter.com/projects/tenyengames/happy-doggo?ref=discovery,Games,Tabletop Games,USA,USD,3500.0,1090.0,31,30,8,121,495,0,13,1,0
Happy Hill #1-5 - Supernatural Vacation Horror Comics,https://www.kickstarter.com/projects/joemulvey/happyhill5?ref=discovery,Comics,Comic Books,USA,USD,5000.0,4616.0,92,17,17,130,1718,1,86,1,0
Hard and soft poke pins collection,https://www.kickstarter.com/projects/aguichart/hard-and-soft-poke-pins-collection?ref=discovery,Art,Digital Art,Spain,EUR,600.0,18001.0,3000,47,4,60,636,0,17,0,1
Hard Level,https://www.kickstarter.com/projects/989301633/hard-level-0?ref=discovery,Games,Tabletop Games,Poland,EUR,100.0,1160.0,1160,21,12,60,213,0,33,1,1
Harlem & The Black Rose DOUBLE Feature,https://www.kickstarter.com/projects/dannyjquick/harlem-and-the-black-rose-double-kickstarter?ref=discovery,Comics,Comic Books,USA,USD,6540.0,8533.0,130,30,4,133,365,1,45,1,1
Harp Fantasy 3 – Harp Twins Album!,https://www.kickstarter.com/projects/harptwins/harp-fantasy-3-harp-twins-album?ref=discovery,Music,World Music,USA,USD,6000.0,46227.0,770,28,4,131,511,1,20,1,1
Haunted Hill: The Complete Volume 1,https://www.kickstarter.com/projects/blastosaurus/haunted-hill?ref=discovery,Comics,Graphic Novels,Canada,CAD,2000.0,1687.29,84,28,27,47,65,1,47,1,0
Haunted Nation: Waverly Hills Sanitorium,https://www.kickstarter.com/projects/hauntednationtv/haunted-nation-waverly-hills-sanitorium?ref=discovery,Film & Video,Documentary,USA,USD,4000.0,6.0,0,30,27,126,453,0,9,1,0
Havoc! The Combat Card Game,https://www.kickstarter.com/projects/havoc-combatcards/havoc-the-combat-card-game-0?ref=discovery,Games,Tabletop Games,USA,USD,10000.0,21201.71,212,30,36,52,1721,0,60,5,1
Hawk's Legacy & Knights of Silence MC Special Editions,https://www.kickstarter.com/projects/amycecilbooks/hawks-legacy-exclusive-special-editions?ref=discovery,Publishing,Fiction,USA,USD,8000.0,4117.0,51,17,39,108,484,0,35,3,0
Head in the Clouds,https://www.kickstarter.com/projects/revermore/head-in-the-clouds?ref=discovery,Film & Video,Animation,USA,USD,1500.0,1432.0,95,60,19,130,70,0,15,2,0
Head On Hoodie,https://www.kickstarter.com/projects/headonhoodie/head-on-hoodie?ref=discovery,Fashion,Apparel,USA,USD,24900.0,6911.0,27,30,13,27,225,0,13,1,0
HEAL THE PLANET THROUGH LIVING COMPOST!,https://www.kickstarter.com/projects/funguycompost/heal-the-planet-through-living-compost?ref=discovery,Food,Farms,USA,USD,9151.0,666.0,7,30,11,109,700,0,11,1,0
Healing Art for Public Exhibition,https://www.kickstarter.com/projects/mccleanphotography/healing-art-for-public-exhibition?ref=discovery,Art,Public Art,USA,USD,4000.0,1.0,0,30,13,128,134,0,10,1,0
Healthy Natural Mineral Sunscreen by Funky Soap,https://www.kickstarter.com/projects/suncream/healthy-natural-mineral-sunscreen-by-funky-soap?ref=discovery,none,Crafts,UK,GBP,5500.0,206.0,3,30,22,134,255,0,11,2,0
Healthy Oil - Ukrainian Cold-Pressed Oil,https://www.kickstarter.com/projects/healthyoilua/healthy-oil-ukrainian-cold-pressed-oil?ref=discovery,Food,Vegan,Ukraine,CAD,14700.0,71.29,0,60,29,122,227,0,8,1,0
Heartstrings - First Guitars,https://www.kickstarter.com/projects/firstguitars/heartstrings-first-guitars?ref=discovery,Publishing,Nonfiction,Canada,CAD,5000.0,5924.29,118,30,18,60,842,1,18,1,1
Heck Ghosts,https://www.kickstarter.com/projects/thatevilone/heck-ghosts?ref=discovery,Games,Tabletop Games,Canada,CAD,2000.0,49023.29,2451,21,59,64,458,0,40,1,1
Help ACASOLA record and release music!,https://www.kickstarter.com/projects/acasola/help-acasola-record-and-release-music?ref=discovery,none,Music,USA,USD,2800.0,986.0,35,60,28,118,77,0,7,0,0
Help AJ Jordan's SAD/JOY: the emotional hip-hop masterpiece!,https://www.kickstarter.com/projects/ajjordanhiphop/help-us-with-the-upcoming-release-of-aj-jordans-sad-joy?ref=discovery,Music,Hip-Hop,USA,USD,1000.0,298.0,29,55,31,118,1831,0,20,1,0
Help Bring Baldwin's Last Fire to the MN Fringe Festival,https://www.kickstarter.com/projects/baldwinslastfire/help-bring-baldwins-last-fire-to-the-mn-fringe-festival?ref=discovery,Theater,Plays,USA,USD,8000.0,256.0,3,47,42,125,339,0,7,0,0
Help Bring Woven to the Fringe!,https://www.kickstarter.com/projects/woventhemusical/help-bring-woven-to-the-fringe?ref=discovery,Theater,Musical,UK,USD,12000.0,1491.0,12,45,38,129,634,0,18,1,0
Help Create Glow Revive Skin Balm,https://www.kickstarter.com/projects/mdaniels/help-create-glow-revive-skin-balm?ref=discovery,Crafts,DIY,USA,USD,10000.0,11.0,0,25,14,99,97,0,7,0,0
"Help create the ""Seiyu Therapy 33"" Tenkara Fishing Rod!",https://www.kickstarter.com/projects/seiyutherapy33/help-create-the-seiyu-therapy-33-tenkara-fishing-rod?ref=discovery,Design,Product Design,USA,USD,2500.0,3832.0,153,60,11,124,99,0,21,0,1
"Help Dear Darling release our second album, Heart Harbor!",https://www.kickstarter.com/projects/deardarling/help-dear-darling-release-our-second-album-heart-harbor?ref=discovery,Music,Country & Folk,USA,USD,11000.0,13322.0,121,20,31,85,472,0,16,1,1
Help fund Critic City's Full Length Album!,https://www.kickstarter.com/projects/criticcity2023album/help-fund-critic-citys-full-length-album?ref=discovery,Music,Rock,USA,USD,5000.0,2686.0,53,50,31,66,223,0,14,1,0
Help Glass Coma make a new 3D album in Dolby ATMOS,https://www.kickstarter.com/projects/glasscoma/help-glass-coma-make-a-new-album-in-dolby-atmos?ref=discovery,Music,Electronic Music,USA,USD,25000.0,141.0,0,60,10,54,308,0,44,1,0
Help Hunter Make a Vinyl Record,https://www.kickstarter.com/projects/hunterstonemusic/help-hunter-make-a-record?ref=discovery,Music,Rock,USA,USD,8300.0,4419.0,53,31,11,49,197,0,12,1,0
Help me make The Kongahälla Legend series Into Audio books.,https://www.kickstarter.com/projects/799888702/help-me-make-the-kongahalla-legend-series-into-audio-books?ref=discovery,Publishing,Fiction,Norway,EUR,10000.0,1086.0,10,60,17,111,308,0,11,1,0
Help Philly's Own Vegan Grill Grow!,https://www.kickstarter.com/projects/algorithmrestaurants/help-phillys-own-vegan-grill-grow?ref=discovery,Food,Vegan,USA,USD,31628.0,701.0,2,40,31,107,195,0,22,0,0
Help Pizza Nova Build a Permanent Home in Winter Park!,https://www.kickstarter.com/projects/pizzanovafl/help-pizza-nova-build-a-permanent-home-in-winter-park?ref=discovery,Food,Vegan,USA,USD,32000.0,1096.0,3,30,22,75,611,0,13,0,0
Help Plant Shop 805 Grow: Putting Down Roots in Ventura!,https://www.kickstarter.com/projects/ps805/help-plant-shop-805-grow-putting-down-roots-in-ventura?ref=discovery,Food,Farms,USA,USD,10805.0,9464.0,87,30,12,101,772,1,21,1,0
Help record an album celebrating Hardy's poetry and music,https://www.kickstarter.com/projects/wessexlovesongs/help-us-record-an-album-celebrating-hardys-poetry-and-music?ref=discovery,Music,Classical Music,UK,GBP,6600.0,4194.0,63,40,13,118,377,0,22,1,0
"Help restore a space on Main Street USA in Marceline, MO",https://www.kickstarter.com/projects/downtownmarceline/help-restore-a-space-on-main-street-usa-in-marceline-mo?ref=discovery,Photography,Places,USA,USD,1899.0,401.0,21,60,30,131,480,0,16,0,0
Help Sweet Goose Release His Debut Album,https://www.kickstarter.com/projects/sweetgoose/help-sweet-goose-release-his-debut-album?ref=discovery,Music,Country & Folk,UK,GBP,600.0,700.0,116,28,12,127,486,0,7,1,1
Help the Treasures Make a Treasure of an Album!,https://www.kickstarter.com/projects/intltreasures/help-the-treasures-make-a-treasure-of-an-album?ref=discovery,Music,Country & Folk,USA,USD,3000.0,738.0,24,14,13,82,504,0,15,1,0
